Date,GrandLarceny,FelonyAssault,Robbery,Burglary,GrandLarcenyAuto,Rape,Murder
1/1/2000,49631,25924,32562,38352,35442,2068,673
1/1/2001,46329,23453,28202,32763,29531,1981,649
1/1/2002,45771,21147,27229,31275,26656,2144,587
1/1/2003,46751,19139,25989,29110,23413,2070,597
1/1/2004,48763,18622,24373,26976,20884,1905,570
1/1/2005,48243,17750,24722,24117,18246,1858,539
1/1/2006,46625,17309,23739,23143,15745,1525,596
1/1/2007,44924,17493,21809,21762,13174,1351,496
1/1/2008,44242,16284,22401,20725,12482,1299,523
1/1/2009,39580,16773,18601,19430,10670,1205,471
1/1/2010,37835,16956,19486,18600,10329,1373,536
1/1/2011,38501,18482,19717,18720,9314,1420,515
1/1/2012,42497,19381,20144,19168,8093,1445,419
1/1/2013,45368,20297,19128,17429,7400,1378,335
1/1/2014,44163,20287,16569,16851,7653,1354,333
1/1/2015,43967,20222,16920,15104,7336,1439,350
