Date,children,adultsInfamilies,singleMen,singleWomen
1/1/1985,7997,4119,6307,877
4/1/1985,8170,4504,6449,852
5/1/1985,8309,4377,6290,854
6/1/1985,8510,4462,6092,848
7/1/1985,9067,4670,5905,843
8/1/1985,9330,4805,5815,861
9/1/1985,9393,4838,5972,917
10/1/1985,9591,4938,6211,905
11/1/1985,9644,4968,6580,910
12/1/1985,9908,5022,7362,955
1/1/1986,10190,5017,7818,987
2/1/1986,10193,5146,8516,994
3/1/1986,9922,5010,8234,982
4/1/1986,9990,5062,8152,961
5/1/1986,9917,5014,7819,970
6/1/1986,9989,5551,7560,959
7/1/1986,10034,5164,7244,966
8/1/1986,10373,5311,7289,978
9/1/1986,10773,5550,7593,1019
10/1/1986,10882,5659,7816,1047
11/1/1986,10912,5728,8371,1070
12/1/1986,11128,5785,8605,1091
1/1/1987,11447,5895,8978,1086
2/1/1987,11814,6035,9076,1093
3/1/1987,11773,6061,9780,1123
4/1/1987,11971,6166,8983,1107
5/1/1987,11772,6159,8608,1129
6/1/1987,11972,6247,8273,1111
7/1/1987,12303,6365,7935,1101
8/1/1987,11880,6396,7871,1103
12/1/1987,10916,6783,8231,1233
1/1/1988,10876,6897,8627,1312
2/1/1988,10728,6871,8970,1333
3/1/1988,10790,6961,8992,1295
4/1/1988,10678,6945,8997,1226
5/1/1988,10776,6924,8849,1245
6/1/1988,10735,6904,8328,1235
7/1/1988,10750,7020,7898,1192
8/1/1988,10799,6910,7693,1198
9/1/1988,10778,6882,7772,1225
10/1/1988,10497,6747,7945,1304
11/1/1988,10169,6635,8294,1294
12/1/1988,9504,6374,8564,1309
1/1/1989,9196,6269,8930,1389
2/1/1989,8925,6223,9165,1409
3/1/1989,8610,6189,9333,1440
4/1/1989,8439,6102,9053,1398
5/1/1989,7931,5750,8232,1342
6/1/1989,7433,5476,7585,1291
7/1/1989,7325,5377,7347,1271
8/1/1989,7218,5329,7210,1266
9/1/1989,7246,5369,7221,1287
10/1/1989,7055,5307,7092,1334
11/1/1989,6793,5183,7166,1335
12/1/1989,6647,5112,7594,1413
1/1/1990,6747,5059,7764,1425
2/1/1990,6653,5056,7833,1418
3/1/1990,6682,5022,7818,1391
4/1/1990,6420,4768,7593,1364
5/1/1990,6238,4620,7299,1376
6/1/1990,5681,4312,6872,1329
7/1/1990,5766,4354,6703,1321
8/1/1990,6073,4571,6695,1273
9/1/1990,6418,4762,6829,1272
10/1/1990,6733,4901,6940,1303
11/1/1990,6817,5031,6971,1324
