Date,children,adultsInfamilies,singleMen,singleWomen
1/1/1985,7997.00,4119.00,6307.00,877.00
2/1/1985,,,6488.00,882.00
3/1/1985,,,6552.00,872.00
4/1/1985,8170.00,4504.00,6449.00,852.00
5/1/1985,8309.00,4377.00,6290.00,854.00
6/1/1985,8510.00,4462.00,6092.00,848.00
7/1/1985,9067.00,4670.00,5905.00,843.00
8/1/1985,9330.00,4805.00,5815.00,861.00
9/1/1985,9393.00,4838.00,5972.00,917.00
10/1/1985,9591.00,4938.00,6211.00,905.00
11/1/1985,9644.00,4968.00,6580.00,910.00
12/1/1985,9908.00,5022.00,7362.00,955.00
1/1/1986,10190.00,5017.00,7818.00,987.00
2/1/1986,10193.00,5146.00,8516.00,994.00
3/1/1986,9922.00,5010.00,8234.00,982.00
4/1/1986,9990.00,5062.00,8152.00,961.00
5/1/1986,9917.00,5014.00,7819.00,970.00
6/1/1986,9989.00,5551.00,7560.00,959.00
7/1/1986,10034.00,5164.00,7244.00,966.00
8/1/1986,10373.00,5311.00,7289.00,978.00
9/1/1986,10773.00,5550.00,7593.00,1019.00
10/1/1986,10882.00,5659.00,7816.00,1047.00
11/1/1986,10912.00,5728.00,8371.00,1070.00
12/1/1986,11128.00,5785.00,8605.00,1091.00
1/1/1987,11447.00,5895.00,8978.00,1086.00
2/1/1987,11814.00,6035.00,9076.00,1093.00
3/1/1987,11773.00,6061.00,9780.00,1123.00
4/1/1987,11971.00,6166.00,8983.00,1107.00
5/1/1987,11772.00,6159.00,8608.00,1129.00
6/1/1987,11972.00,6247.00,8273.00,1111.00
7/1/1987,12303.00,6365.00,7935.00,1101.00
8/1/1987,11880.00,6396.00,7871.00,1103.00
9/1/1987,,,8028.00,1141.00
10/1/1987,,,8283.00,1198.00
11/1/1987,,,8437.00,1228.00
12/1/1987,10916.00,6783.00,8231.00,1233.00
1/1/1988,10876.00,6897.00,8627.00,1312.00
2/1/1988,10728.00,6871.00,8970.00,1333.00
3/1/1988,10790.00,6961.00,8992.00,1295.00
4/1/1988,10678.00,6945.00,8997.00,1226.00
5/1/1988,10776.00,6924.00,8849.00,1245.00
6/1/1988,10735.00,6904.00,8328.00,1235.00
7/1/1988,10750.00,7020.00,7898.00,1192.00
8/1/1988,10799.00,6910.00,7693.00,1198.00
9/1/1988,10778.00,6882.00,7772.00,1225.00
10/1/1988,10497.00,6747.00,7945.00,1304.00
11/1/1988,10169.00,6635.00,8294.00,1294.00
12/1/1988,9504.00,6374.00,8564.00,1309.00
1/1/1989,9196.00,6269.00,8930.00,1389.00
2/1/1989,8925.00,6223.00,9165.00,1409.00
3/1/1989,8610.00,6189.00,9333.00,1440.00
4/1/1989,8439.00,6102.00,9053.00,1398.00
5/1/1989,7931.00,5750.00,8232.00,1342.00
6/1/1989,7433.00,5476.00,7585.00,1291.00
7/1/1989,7325.00,5377.00,7347.00,1271.00
8/1/1989,7218.00,5329.00,7210.00,1266.00
9/1/1989,7246.00,5369.00,7221.00,1287.00
10/1/1989,7055.00,5307.00,7092.00,1334.00
11/1/1989,6793.00,5183.00,7166.00,1335.00
12/1/1989,6647.00,5112.00,7594.00,1413.00
1/1/1990,6747.00,5059.00,7764.00,1425.00
2/1/1990,6653.00,5056.00,7833.00,1418.00
3/1/1990,6682.00,5022.00,7818.00,1391.00
4/1/1990,6420.00,4768.00,7593.00,1364.00
5/1/1990,6238.00,4620.00,7299.00,1376.00
6/1/1990,5681.00,4312.00,6872.00,1329.00
7/1/1990,5766.00,4354.00,6703.00,1321.00
8/1/1990,6073.00,4571.00,6695.00,1273.00
9/1/1990,6418.00,4762.00,6829.00,1272.00
10/1/1990,6733.00,4901.00,6940.00,1303.00
11/1/1990,6817.00,5031.00,6971.00,1324.00
12/1/1990,6819.00,5118.00,6991.00,1311.00
1/1/1991,7281.00,5459.00,7360.00,1346.00
2/1/1991,7525.00,5656.00,7444.00,1323.00
3/1/1991,7815.00,5932.00,7300.00,1330.00
4/1/1991,7835.00,5974.00,6958.00,1307.00
5/1/1991,7916.00,6079.00,6588.00,1263.00
6/1/1991,7982.00,6085.00,6159.00,1213.00
7/1/1991,8216.00,6212.00,5861.00,1191.00
8/1/1991,8479.00,6463.00,5726.00,1165.00
9/1/1991,8616.00,6490.00,5790.00,1193.00
10/1/1991,8640.00,6507.00,5846.00,1206.00
11/1/1991,,,5976.00,1236.00
12/1/1991,8569.00,6568.00,6177.00,1284.00
1/1/1992,8741.00,6658.00,6291.00,1306.00
2/1/1992,8848.00,6783.00,6460.00,1297.00
3/1/1992,8865.00,6905.00,6588.00,1293.00
4/1/1992,8884.00,7025.00,6280.00,1293.00
5/1/1992,8997.00,6983.00,5981.00,1257.00
6/1/1992,9076.00,7100.00,5540.00,1195.00
7/1/1992,9235.00,7178.00,5110.00,1157.00
8/1/1992,9413.00,7246.00,4986.00,1115.00
9/1/1992,9504.00,7282.00,5020.00,1093.00
10/1/1992,9548.00,7371.00,5247.00,1148.00
11/1/1992,9768.00,7541.00,5465.00,1187.00
12/1/1992,9708.00,7541.00,5586.00,1163.00
1/1/1993,9573.00,7433.00,5710.00,1161.00
2/1/1993,9787.00,7578.00,5806.00,1162.00
3/1/1993,9706.00,7609.00,5862.00,1148.00
4/1/1993,9774.00,7629.00,5612.00,1096.00
5/1/1993,,,5375.00,1079.00
6/1/1993,9847.00,7637.00,5099.00,1044.00
7/1/1993,9869.00,7678.00,4923.00,1023.00
8/1/1993,9887.00,7594.00,4794.00,994.00
9/1/1993,9991.00,7647.00,4850.00,1000.00
10/1/1993,9806.00,7553.00,4900.00,1010.00
11/1/1993,9634.00,7515.00,5006.00,1020.00
12/1/1993,9625.00,7545.00,5093.00,1029.00
1/1/1994,9479.00,7601.00,5411.00,1035.00
2/1/1994,9597.00,7599.00,5542.00,1062.00
3/1/1994,9400.00,7547.00,5400.00,1040.00
4/1/1994,9414.00,7511.00,5111.00,1017.00
5/1/1994,9560.00,7614.00,5000.00,1050.00
6/1/1994,9638.00,7597.00,4932.00,1080.00
7/1/1994,9453.00,7488.00,4759.00,1072.00
8/1/1994,9509.00,7506.00,4652.00,1064.00
9/1/1994,9827.00,7686.00,4687.00,1088.00
10/1/1994,9816.00,7662.00,4866.00,1125.00
11/1/1994,9808.00,7618.00,4867.00,1112.00
12/1/1994,9889.00,7604.00,5174.00,1130.00
1/1/1995,9885.00,7637.00,5358.00,1169.00
2/1/1995,9979.00,7659.00,5478.00,1201.00
3/1/1995,9909.00,7569.00,5444.00,1172.00
4/1/1995,9802.00,7492.00,5368.00,1191.00
5/1/1995,9674.00,7342.00,5277.00,1163.00
6/1/1995,9673.00,7298.00,5173.00,1157.00
7/1/1995,9747.00,7323.00,5106.00,1163.00
8/1/1995,10151.00,7522.00,5137.00,1188.00
9/1/1995,10256.00,7564.00,5224.00,1202.00
10/1/1995,10158.00,7596.00,5349.00,1216.00
11/1/1995,10131.00,7584.00,5559.00,1208.00
12/1/1995,9925.00,7406.00,5786.00,1208.00
1/1/1996,10000.00,7583.00,5942.00,1230.00
2/1/1996,9994.00,7613.00,6021.00,1235.00
3/1/1996,9991.00,7610.00,6038.00,1233.00
4/1/1996,9934.00,7642.00,5827.00,1250.00
5/1/1996,9967.00,7661.00,5731.00,1256.00
6/1/1996,9895.00,7670.00,5619.00,1264.00
7/1/1996,10022.00,7732.00,5619.00,1276.00
8/1/1996,,,5480.00,1326.00
9/1/1996,10181.00,7713.00,5508.00,1295.00
10/1/1996,9817.00,7444.00,5700.00,1286.00
11/1/1996,9603.00,7245.00,5756.00,1303.00
12/1/1996,9321.00,7043.00,5910.00,1322.00
1/1/1997,9279.00,7069.00,6005.00,1345.00
2/1/1997,9083.00,6943.00,6072.00,1349.00
3/1/1997,8718.00,6759.00,6146.00,1362.00
4/1/1997,8641.00,6732.00,6061.00,1368.00
5/1/1997,8377.00,6591.00,5875.00,1356.00
6/1/1997,8412.00,6637.00,5602.00,1316.00
7/1/1997,8370.00,6611.00,5460.00,1277.00
8/1/1997,8199.00,6476.00,5433.00,1288.00
9/1/1997,8061.00,6417.00,5520.00,1315.00
10/1/1997,7904.00,6320.00,5519.00,1327.00
11/1/1997,7767.00,6236.00,5685.00,1332.00
12/1/1997,7532.00,6078.00,5816.00,1325.00
1/1/1998,7699.00,6201.00,5910.00,1362.00
2/1/1998,7654.00,6174.00,5903.00,1393.00
3/1/1998,7726.00,6193.00,5868.00,1422.00
4/1/1998,7709.00,6159.00,5695.00,1405.00
5/1/1998,7637.00,6049.00,5544.00,1404.00
6/1/1998,7758.00,6078.00,5383.00,1378.00
7/1/1998,7991.00,6246.00,5163.00,1377.00
8/1/1998,8279.00,6430.00,5083.00,1386.00
9/1/1998,8548.00,6634.00,5088.00,1400.00
10/1/1998,8583.00,6737.00,5106.00,1373.00
11/1/1998,8638.00,6737.00,5419.00,1424.00
12/1/1998,8623.00,6663.00,5409.00,1411.00
1/1/1999,8816.00,6860.00,5522.00,1441.00
2/1/1999,8814.00,6894.00,5587.00,1464.00
3/1/1999,8685.00,6859.00,5588.00,1484.00
4/1/1999,8649.00,6842.00,5485.00,1481.00
5/1/1999,8593.00,6752.00,5317.00,1477.00
6/1/1999,8631.00,6843.00,5148.00,1470.00
7/1/1999,8624.00,6887.00,5060.00,1468.00
8/1/1999,9001.00,7152.00,5004.00,1474.00
9/1/1999,9051.00,7155.00,5091.00,1494.00
10/1/1999,9096.00,7198.00,5229.00,1499.00
11/1/1999,9054.00,7183.00,5296.00,1506.00
12/1/1999,8935.00,7115.00,5236.00,1520.00
1/1/2000,8863.00,7190.00,5358.00,1544.00
2/1/2000,8887.00,7214.00,5476.00,1563.00
3/1/2000,8835.00,7204.00,5462.00,1564.00
4/1/2000,8847.00,7230.00,5397.00,1556.00
5/1/2000,8946.00,7307.00,5314.00,1553.00
6/1/2000,10091.00,7363.00,5248.00,1566.00
7/1/2000,9303.00,7594.00,5229.00,1569.00
8/1/2000,9406.00,7633.00,5226.00,1564.00
9/1/2000,9724.00,7804.00,5270.00,1564.00
10/1/2000,9793.00,7850.00,5313.00,1581.00
11/1/2000,9920.00,7883.00,5436.00,1597.00
12/1/2000,10062.00,7928.00,5597.00,1648.00
1/1/2001,10140.00,8007.00,5710.00,1672.00
2/1/2001,10242.00,8112.00,5757.00,1705.00
3/1/2001,10489.00,8232.00,5792.00,1714.00
4/1/2001,10828.00,8497.00,5806.00,1699.00
5/1/2001,11005.00,8623.00,5743.00,1682.00
6/1/2001,11289.00,8892.00,5706.00,1687.00
7/1/2001,12006.00,9260.00,5687.00,1698.00
8/1/2001,12283.00,9432.00,5716.00,1724.00
9/1/2001,12173.00,9394.00,5702.00,1722.00
10/1/2001,12414.00,9512.00,5846.00,1726.00
11/1/2001,12576.00,9650.00,5843.00,1733.00
12/1/2001,12868.00,9890.00,5933.00,1748.00
1/1/2002,13088.00,10108.00,6094.00,1773.00
2/1/2002,13392.00,10473.00,6161.00,1753.00
3/1/2002,13970.00,10920.00,6199.00,1760.00
4/1/2002,14387.00,11361.00,6099.00,1752.00
5/1/2002,14553.00,11612.00,5955.00,1767.00
6/1/2002,14574.00,11707.00,5806.00,1751.00
7/1/2002,15255.00,12242.00,5727.00,1778.00
8/1/2002,15844.00,12657.00,5653.00,1814.00
9/1/2002,16296.00,13027.00,5807.00,1846.00
10/1/2002,16406.00,13116.00,5862.00,1879.00
11/1/2002,16584.00,13334.00,5958.00,1899.00
12/1/2002,16633.00,13439.00,6064.00,1904.00
1/1/2003,16711.00,13617.00,6233.00,1903.00
2/1/2003,16639.00,13348.00,6321.00,1916.00
3/1/2003,16615.00,13374.00,6353.00,1912.00
4/1/2003,16685.00,13459.00,6394.00,1932.00
5/1/2003,16854.00,13554.00,6334.00,1920.00
6/1/2003,16759.00,13457.00,6221.00,1916.00
7/1/2003,16884.00,13531.00,6101.00,1899.00
8/1/2003,16501.00,13115.00,6067.00,1884.00
9/1/2003,16778.00,13378.00,6153.00,1936.00
10/1/2003,16741.00,13319.00,6264.00,1946.00
11/1/2003,16878.00,13413.00,6399.00,1952.00
12/1/2003,16594.00,13317.00,6466.00,1977.00
1/1/2004,16361.00,13258.00,6679.00,2019.00
2/1/2004,16304.00,13303.00,6824.00,2037.00
3/1/2004,16212.00,13357.00,6829.00,2038.00
4/1/2004,15874.00,13228.00,6758.00,2036.00
5/1/2004,15615.00,13029.00,6620.00,2028.00
6/1/2004,15251.00,12716.00,6400.00,2032.00
7/1/2004,15380.00,12827.00,6337.00,2035.00
8/1/2004,15288.00,12685.00,6337.00,2049.00
9/1/2004,15424.00,12835.00,6403.00,2061.00
10/1/2004,15513.00,12906.00,6444.00,2067.00
11/1/2004,15347.00,12797.00,6569.00,2049.00
12/1/2004,15005.00,12588.00,6585.00,2065.00
1/1/2005,15094.00,12722.00,6718.00,2096.00
2/1/2005,14884.00,12639.00,6602.00,2044.00
3/1/2005,14534.00,12359.00,6586.00,2026.00
4/1/2005,13950.00,12140.00,6427.00,1995.00
5/1/2005,13601.00,12052.00,6273.00,1931.00
6/1/2005,13124.00,11735.00,6083.00,1893.00
7/1/2005,13082.00,11895.00,5966.00,1873.00
8/1/2005,12861.00,11643.00,5909.00,1903.00
9/1/2005,12724.00,11596.00,5878.00,1897.00
10/1/2005,12563.00,11470.00,6012.00,1930.00
11/1/2005,12471.00,11503.00,6049.00,1939.00
12/1/2005,12003.00,11300.00,6110.00,1974.00
1/1/2006,11996.00,11425.00,6130.00,2003.00
2/1/2006,11888.00,11544.00,6100.00,1995.00
3/1/2006,11787.00,11585.00,6099.00,1986.00
4/1/2006,11768.00,11651.00,6034.00,1982.00
