Date,Brooklyn,Queens,Manhattan,Bronx,Staten,Citywide
1/1/2004,271.55,255.37,653.08,174.62,205.55,241.66
2/1/2004,269.65,262.58,665.18,199.37,208.12,261.01
3/1/2004,273.51,259.31,677.46,190.59,208.89,270.10
4/1/2004,268.87,258.04,683.65,185.80,207.42,264.52
5/1/2004,274.78,259.10,702.09,178.18,210.04,276.64
6/1/2004,290.77,255.06,722.77,173.98,210.31,265.91
7/1/2004,297.60,259.43,744.16,171.50,210.84,273.98
8/1/2004,315.96,268.88,770.24,175.51,210.75,294.27
9/1/2004,311.42,276.54,790.30,183.31,218.31,295.86
10/1/2004,307.75,278.44,796.56,197.37,224.95,286.66
11/1/2004,306.85,281.75,801.42,199.04,225.49,282.86
12/1/2004,313.41,283.05,807.45,200.10,231.01,291.91
1/1/2005,315.60,285.78,828.58,198.00,235.59,300.81
2/1/2005,335.83,288.64,847.72,206.28,237.14,302.69
3/1/2005,350.47,296.88,863.15,218.26,240.68,322.10
4/1/2005,361.91,299.57,874.57,205.54,242.91,325.40
5/1/2005,364.69,304.64,902.23,204.30,241.41,329.98
6/1/2005,369.13,311.85,921.46,211.40,242.04,340.72
7/1/2005,363.84,317.61,952.28,216.40,247.80,339.38
8/1/2005,362.58,322.68,981.74,218.91,253.01,342.01
9/1/2005,349.77,331.78,991.22,209.24,258.13,337.88
10/1/2005,347.19,335.11,989.68,203.68,257.51,340.58
11/1/2005,334.16,338.75,987.76,209.87,262.00,338.91
12/1/2005,345.54,339.30,990.30,211.96,261.70,336.98
1/1/2006,341.74,338.23,1004.32,221.26,262.78,336.21
2/1/2006,341.04,340.02,967.91,219.92,267.53,343.92
3/1/2006,362.93,343.10,983.56,216.30,265.93,360.67
4/1/2006,368.98,342.92,993.47,213.53,268.52,370.73
5/1/2006,363.59,341.65,981.35,221.99,268.38,381.40
6/1/2006,367.82,351.35,991.23,227.69,271.50,378.37
7/1/2006,369.42,356.00,1006.08,237.03,278.81,384.23
8/1/2006,371.98,362.54,1025.42,234.90,280.11,386.18
9/1/2006,376.79,365.25,1023.41,242.76,283.72,393.45
10/1/2006,364.50,366.14,1026.08,241.21,276.82,388.52
11/1/2006,366.01,365.22,1035.34,236.42,274.26,383.12
