Date,Brooklyn,Queens,Manhattan,Bronx,Staten,Citywide
12/1/2011,1663,1658,3073,1532,1816,1748
1/1/2012,1666,1659,3063,1522,1811,1753
2/1/2012,1670,1664,3083,1517,1812,1763
3/1/2012,1671,1679,3102,1521,1816,1777
4/1/2012,1674,1692,3118,1530,1825,1792
5/1/2012,1684,1704,3126,1543,1828,1803
6/1/2012,1700,1720,3129,1561,1825,1812
7/1/2012,1721,1732,3149,1579,1808,1814
8/1/2012,1734,1732,3192,1595,1793,1809
9/1/2012,1739,1722,3236,1600,1788,1805
10/1/2012,1737,1715,3250,1591,1799,1805
11/1/2012,1734,1725,3231,1593,1825,1819
12/1/2012,1744,1736,3225,1585,1856,1833
1/1/2013,1763,1744,3227,1581,1895,1852
2/1/2013,1781,1746,3226,1582,1934,1869
3/1/2013,1799,1754,3231,1587,1957,1887
4/1/2013,1813,1763,3251,1596,1969,1900
5/1/2013,1838,1778,3299,1609,1976,1917
6/1/2013,1865,1793,3334,1623,1991,1940
7/1/2013,1894,1809,3344,1629,2015,1968
8/1/2013,1905,1827,3308,1625,2042,1987
9/1/2013,1919,1845,3291,1620,2062,2000
10/1/2013,1919,1866,3309,1618,2068,2004
11/1/2013,1926,1896,3345,1631,2054,2016
12/1/2013,1937,1926,3374,1634,2014,2027
1/1/2014,1963,1954,3391,1635,1977,2040
2/1/2014,1992,1972,3407,1638,1959,2051
3/1/2014,2012,1978,3417,1637,1971,2057
4/1/2014,2025,1985,3414,1635,1992,2063
5/1/2014,2025,1995,3410,1630,2008,2071
6/1/2014,2032,2006,3408,1633,2009,2080
7/1/2014,2045,2027,3422,1641,2027,2104
8/1/2014,2067,2047,3441,1660,2052,2133
9/1/2014,2087,2076,3482,1678,2085,2170
10/1/2014,2108,2087,3547,1688,2108,2191
11/1/2014,2123,2094,3615,1709,2136,2207
12/1/2014,2136,2094,3677,1713,2157,2214
1/1/2015,2134,2102,3711,1718,2161,2217
2/1/2015,2142,2121,3746,1720,2164,2227
3/1/2015,2162,2138,3774,1732,2163,2239
4/1/2015,2183,2144,3804,1743,2173,2247
5/1/2015,2198,2148,3811,1755,2174,2252
6/1/2015,2202,2148,3829,1763,2170,2251
7/1/2015,2200,2148,3835,1759,2143,2246
8/1/2015,2213,2171,3857,1762,2121,2259
9/1/2015,2231,2195,3848,1768,2104,2277
10/1/2015,2261,2221,3778,1783,2110,2304
11/1/2015,2286,2233,3727,1806,2116,2323
12/1/2015,2308,2239,3697,1819,2120,2334
1/1/2016,2325,2238,3724,1829,2130,2335
2/1/2016,2329,2237,3739,1835,2131,2329
3/1/2016,2331,2238,3763,1840,2123,2328
4/1/2016,2333,2247,3790,1835,2101,2333
5/1/2016,2337,2251,3812,1829,2101,2339
6/1/2016,2336,2255,3811,1820,2117,2345
7/1/2016,2331,2254,3801,1815,2136,2344
8/1/2016,2328,2246,3777,1805,2136,2337
9/1/2016,2330,2236,3750,1798,2126,2326
