DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,24,Queens,290,68.42,62.71,53.85,73.75,57.35,59.42,,,,,,,59.11,65.87
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,17,Brooklyn,382,,,,,,,18.75,18.75,29.55,18.18,22.45,12.24,24.00,16.00
30Q235,ACADEMY FOR NEW AMERICANS,30,Queens,235,,,,,,,0.00,10.42,2.63,22.86,0.00,8.70,1.12,14.44
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,10,Bronx,363,,,,,,,9.30,3.45,4.00,2.88,32.37,11.11,15.78,5.49
19K404,ACADEMY FOR YOUNG WRITERS,19,Brooklyn,404,,,,,,,33.33,16.67,27.69,0.00,18.33,0.00,26.49,5.46
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,7,Bronx,343,,,,,,,25.53,26.32,37.25,47.06,45.26,19.70,36.08,32.70
13K492,ACADEMY OF ARTS AND LETTERS,13,Brooklyn,492,58.33,41.67,78.95,77.78,65.38,43.48,43.48,45.65,65.52,54.39,0.00,12.50,59.39,50.00
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,27,Queens,309,,,,,,,18.46,5.88,27.14,13.04,32.86,0.00,26.34,7.30
07X298,ACADEMY OF PUBLIC RELATIONS,7,Bronx,298,,,,,,,13.16,10.53,8.05,3.41,17.39,2.15,13.31,5.06
12X341,ACCION ACADEMY,12,Bronx,341,,,,,,,25.00,15.38,12.50,19.35,36.21,10.53,26.76,14.29
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,30,Queens,126,,,,,,,35.83,33.69,38.46,29.28,41.87,25.74,38.81,29.47
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,32,Brooklyn,554,,,,,,,88.33,86.67,85.00,83.33,83.05,,85.47,85.00
06M311,AMISTAD DUAL LANGUAGE SCHOOL,6,Manhattan,311,22.22,20.00,31.25,41.67,20.00,15.56,36.36,20.59,27.91,13.95,58.97,17.95,32.02,22.05
10X344,AMPARK NEIGHBORHOOD,10,Bronx,344,56.34,67.61,43.84,35.14,47.73,42.22,,,,,,,49.47,48.95
22K240,ANDRIES HUDDE,22,Brooklyn,240,,,,,,,21.40,21.81,22.85,16.48,47.37,49.32,31.19,29.95
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,8,Bronx,376,,,,,,,34.00,16.33,25.00,6.45,34.85,7.58,31.25,9.60
12X531,ARCHER ELEMENTARY SCHOOL,12,Bronx,531,14.81,13.10,21.05,27.85,25.81,29.23,,,,,,,20.09,22.81
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",8,Bronx,367,,,,,,,17.58,9.57,25.64,11.39,35.63,6.25,26.17,9.28
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,30,Queens,580,,,,,,,,,95.28,99.06,98.75,,96.77,99.06
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",2,Manhattan,442,,,51.43,85.71,85.00,85.37,87.50,91.67,75.00,90.00,91.30,0.00,76.76,86.07
02M276,BATTERY PARK CITY SCHOOL,2,Manhattan,276,70.48,56.07,76.24,78.00,66.06,63.96,61.96,72.83,79.78,56.18,85.25,47.06,72.35,64.17
11X169,BAYCHESTER ACADEMY,11,Bronx,169,44.44,63.49,40.68,32.79,33.33,42.03,,,,,,,39.27,46.11
11X532,BAYCHESTER MIDDLE SCHOOL,11,Bronx,532,,,,,,,12.87,12.00,6.59,5.49,24.18,11.36,14.49,9.68
25Q294,BELL ACADEMY,25,Queens,294,,,,,,,60.61,69.53,70.73,67.77,71.43,0.00,66.96,64.77
08X562,BLUEPRINT MIDDLE SCHOOL,8,Bronx,562,,,,,,,18.52,15.12,16.67,15.84,25.26,16.13,20.14,15.71
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,16,Brooklyn,627,21.43,0.00,37.50,18.75,41.67,34.78,,,,,,,35.19,21.15
11X355,BRONX ALLIANCE MIDDLE SCHOOL,11,Bronx,355,,,,,,,12.80,4.76,7.69,0.96,16.52,8.33,12.50,4.86
10X308,BRONX DANCE ACADEMY SCHOOL,10,Bronx,308,,,,,,,10.13,15.19,31.91,13.83,42.35,2.04,28.68,11.71
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,9,Bronx,324,,,,,,,13.79,17.24,6.76,6.76,15.63,9.23,11.73,10.66
11X326,BRONX GREEN MIDDLE SCHOOL,11,Bronx,326,,,,,,,22.88,20.49,24.80,9.84,18.60,1.98,22.04,11.30
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,9,Bronx,413,,,,,,,26.79,39.29,48.84,42.86,66.07,33.93,47.10,38.31
12X267,BRONX LATIN,12,Bronx,267,,,,,,,18.31,17.81,36.62,21.13,22.62,0.00,25.66,15.22
12X691,BRONX LITTLE SCHOOL,12,Bronx,691,21.82,21.05,12.77,10.42,17.65,22.06,,,,,,,17.65,18.50
11X556,BRONX PARK MIDDLE SCHOOL,11,Bronx,556,,,,,,,18.85,25.98,13.87,3.62,25.00,14.17,19.06,14.29
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",9,Bronx,505,,,,,,,38.10,41.67,33.33,28.89,56.18,20.22,42.59,30.04
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,8,Bronx,269,,,,,,,9.09,6.76,21.69,9.76,28.00,7.69,19.57,8.12
09X323,BRONX WRITING ACADEMY,9,Bronx,323,,,,,,,12.50,10.34,15.57,7.03,22.30,8.61,17.00,8.73
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,14,Brooklyn,414,42.42,51.00,44.55,53.00,23.94,21.13,,,,,,,38.38,43.91
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,17,Brooklyn,705,12.20,29.27,42.86,19.05,10.53,30.00,,,,,,,19.75,26.83
16K628,BROOKLYN BROWNSTONE SCHOOL,16,Brooklyn,628,61.11,50.00,57.69,34.62,71.43,42.86,,,,,,,62.07,41.38
23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),23,Brooklyn,664,,,,,,,15.00,10.00,7.32,5.13,2.86,0.00,7.29,4.17
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,19,Brooklyn,557,13.21,5.56,10.00,7.32,,,,,,,,,11.83,6.32
23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,23,Brooklyn,599,72.22,67.50,66.67,73.81,,,,,,,,,69.23,70.73
20K686,BROOKLYN SCHOOL OF INQUIRY,20,Brooklyn,686,92.59,92.59,93.22,91.38,85.48,93.55,82.22,86.67,86.00,98.00,,,87.30,91.72
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,18,Brooklyn,763,,,,,,,44.44,27.78,22.06,16.18,,,33.57,22.14
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,15,Brooklyn,448,,,,,,,26.32,5.26,19.05,15.00,36.36,9.09,25.49,10.00
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,21,Brooklyn,690,,,,,,,36.11,29.73,26.47,33.80,31.48,27.59,31.44,30.54
23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,23,Brooklyn,363,,,,,,,5.00,0.00,13.89,2.70,6.45,0.00,9.20,1.12
06M513,CASTLE BRIDGE SCHOOL,6,Manhattan,513,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,28,Queens,72,,,,,,,11.97,4.96,18.86,18.33,20.91,12.78,18.38,12.87
04M497,CENTRAL PARK EAST I,4,Manhattan,497,8.33,0.00,57.14,42.86,0.00,0.00,,,,,,,27.27,19.05
04M964,CENTRAL PARK EAST II,4,Manhattan,964,74.19,78.13,79.31,48.28,42.31,55.56,8.00,16.67,,,,,53.15,51.79
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,27,Queens,262,,,,,,,23.26,13.95,22.22,20.73,61.40,24.14,32.59,19.03
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,23,Brooklyn,401,26.92,34.62,20.51,18.42,10.71,6.90,,,,,,,19.35,19.35
06M293,CITY COLLEGE ACADEMY OF THE ARTS,6,Manhattan,293,,,,,,,46.67,51.65,41.03,44.87,61.90,40.96,50.00,46.03
02M933,CITY KNOLL MIDDLE SCHOOL,2,Manhattan,933,,,,,,,22.54,30.14,34.67,28.95,,,28.77,29.53
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",1,Manhattan,345,,,,,,,8.00,4.00,25.00,14.29,28.57,10.71,20.99,9.88
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,29,Queens,355,,,,,,,19.61,11.76,11.94,5.97,19.73,17.69,16.97,12.01
05M362,COLUMBIA SECONDARY SCHOOL,5,Manhattan,362,,,,,,,82.56,86.21,88.76,96.63,89.16,,86.82,91.48
03M258,COMMUNITY ACTION SCHOOL - MS 258,3,Manhattan,258,,,,,,,22.92,40.00,38.81,31.34,38.57,17.14,34.59,28.34
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,6,Manhattan,346,,,,,,,22.99,22.99,20.99,13.41,34.83,14.44,26.46,16.99
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,29,Queens,356,,,,,,,21.90,12.38,22.61,10.43,24.82,4.13,23.27,8.80
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,9,Bronx,327,,,,,,,27.17,32.22,40.59,41.00,37.78,67.03,35.34,46.62
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,7,Bronx,359,88.57,100.00,97.83,97.83,,,,,,,,,93.83,98.78
14K577,CONSELYEA PREPARATORY SCHOOL,14,Brooklyn,577,,,,,,,43.45,47.02,57.53,46.58,60.38,4.44,53.49,37.38
11X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,11,Bronx,189,24.00,25.00,42.37,30.51,26.00,14.00,,,,,,,31.45,23.60
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),11,Bronx,462,,,,,,,32.08,45.45,47.22,36.23,40.00,10.26,40.61,33.13
24Q311,CORONA ARTS AND SCIENCES ACADEMY,24,Queens,311,,,,,,,20.65,18.48,34.19,23.53,45.98,30.00,33.45,23.92
10X447,CRESTON ACADEMY,10,Bronx,447,,,,,,,15.79,23.78,22.58,20.37,34.42,24.84,24.66,22.96
29Q037,CYNTHIA JENKINS SCHOOL,29,Queens,37,38.16,22.08,28.75,26.25,47.13,19.54,,,,,,,38.27,22.54
15K429,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,15,Brooklyn,429,,,,,,,,,24.00,8.33,25.00,5.26,24.44,6.98
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,17,Brooklyn,12,22.86,14.29,21.74,34.78,25.81,6.45,,,,,,,23.60,16.85
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,13,Brooklyn,265,,,,,,,21.62,5.13,12.12,9.09,13.33,3.33,16.00,5.88
12X190,E.S.M.T- I.S. 190,12,Bronx,190,,,,,,,20.55,17.81,13.33,15.07,23.94,11.76,19.18,14.95
09X231,EAGLE ACADEMY FOR YOUNG MEN,9,Bronx,231,,,,,,,10.71,14.55,7.27,7.27,9.59,0.00,9.24,7.59
23K644,EAGLE ACADEMY FOR YOUNG MEN II,23,Brooklyn,644,,,,,,,21.82,27.27,16.07,18.87,17.11,,18.18,23.15
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,29,Queens,327,,,,,,,11.76,13.24,25.00,14.08,36.49,31.08,24.77,19.72
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,Manhattan,148,,,,,,,26.53,2.08,14.58,8.51,29.69,0.00,24.22,3.70
01M364,EARTH SCHOOL,1,Manhattan,364,45.45,45.45,75.00,38.46,55.00,57.89,,,,,,,58.14,48.84
12X271,EAST BRONX ACADEMY FOR THE FUTURE,12,Bronx,271,,,,,,,16.67,21.52,13.75,18.52,23.61,17.57,17.83,19.23
18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,18,Brooklyn,581,,,,,,,33.33,20.00,15.38,12.82,9.84,6.56,16.13,11.20
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,10,Bronx,459,,,,,,,8.54,1.20,5.77,1.96,15.00,3.23,10.13,2.27
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,19,Brooklyn,677,24.73,22.11,27.78,22.83,25.29,22.47,,,,,,,25.93,22.46
19K409,EAST NEW YORK FAMILY ACADEMY,19,Brooklyn,409,,,,,,,19.40,16.42,44.78,47.06,38.81,31.34,34.33,31.68
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,19,Brooklyn,678,,,,,,,12.00,9.33,4.71,2.33,21.43,3.53,12.70,4.88
01M450,EAST SIDE COMMUNITY SCHOOL,1,Manhattan,450,,,,,,,47.14,48.57,48.75,37.18,43.33,44.64,46.67,43.14
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",2,Manhattan,267,77.78,79.37,84.78,84.78,73.68,65.00,,,,,,,79.69,79.07
02M114,EAST SIDE MIDDLE SCHOOL,2,Manhattan,114,,,,,,,91.72,95.17,92.86,95.00,95.21,94.52,93.27,94.90
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,25,Queens,281,,,,,,,57.41,72.90,55.66,69.16,61.29,38.24,57.98,66.53
17K352,EBBETS FIELD MIDDLE SCHOOL,17,Brooklyn,352,,,,,,,6.82,15.91,13.95,6.52,9.52,18.82,9.94,14.86
10X382,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",10,Bronx,382,25.71,18.92,20.00,20.41,16.98,35.19,,,,,,,20.30,25.71
17K353,ELIJAH STROUD MIDDLE SCHOOL,17,Brooklyn,353,,,,,,,21.62,40.54,22.58,11.11,8.70,5.56,15.71,14.21
02M225,ELLA BAKER SCHOOL,2,Manhattan,225,33.33,29.41,85.71,21.43,50.00,31.58,14.29,28.57,33.33,18.18,69.23,53.85,50.00,30.86
12X383,EMOLIOR ACADEMY,12,Bronx,383,,,,,,,6.94,3.85,18.52,28.40,11.11,18.75,12.39,17.15
12X384,ENTRADA ACADEMY,12,Bronx,384,,,,,,,2.22,6.56,4.60,2.02,6.98,11.58,5.05,6.67
04M372,ESPERANZA PREPARATORY ACADEMY,4,Manhattan,372,,,,,,,5.77,8.33,14.86,16.25,26.74,11.36,17.45,12.28
